image,model,commons_file,author,licence,licence_url,source
images/canon/canon-rf-70-200mm-f2-8-l-is-usm-z.jpg,Canon RF 70-200mm F2.8 L IS USM Z,Canon RF 70-200mm F2.8L IS USM Z.jpg,Dinkun Chen,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_RF_70-200mm_F2.8L_IS_USM_Z.jpg
images/canon/canon-rf-70-200mm-f2-8-l-is-usm.jpg,Canon RF 70-200mm F2.8 L IS USM,"Canon RF 70-200 2,8-8064.jpg",GodeNehler,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Canon_RF_70-200_2,8-8064.jpg"
images/canon/canon-rf-70-200mm-f4-l-is-usm.jpg,Canon RF 70-200mm F4 L IS USM,Canon RF 70–200mm.jpg,GodeNehler,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_RF_70%E2%80%93200mm.jpg
images/canon/canon-rf-800mm-f11-is-stm.jpg,Canon RF 800mm F11 IS STM,Canon R5 und RF 800 11-8061.jpg,GodeNehler,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_R5_und_RF_800_11-8061.jpg
images/canon/canon-rf-800mm-f5-6-l-is-usm.jpg,Canon RF 800mm F5.6 L IS USM,Canon RF 800mm f5.6L IS USM.jpg,Dinkun Chen,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_RF_800mm_f5.6L_IS_USM.jpg
images/canon/canon-rf-85mm-f1-2-l-usm.jpg,Canon RF 85mm F1.2 L USM,"Canon R6 und RF 85 1,2-8068.jpg",GodeNehler,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Canon_R6_und_RF_85_1,2-8068.jpg"
images/canon/canon-rf-85mm-f2-0-macro-is-stm.jpg,Canon RF 85mm F2.0 Macro IS STM,Canon RF 85mm F2 Macro IS STM (3-4 cropped).jpg,Henry Söderlund,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Canon_RF_85mm_F2_Macro_IS_STM_(3-4_cropped).jpg
images/canon/canon-t50.jpg,Canon T50,Canon T50.jpg,Ben Eenhoorn (flickr.com user Devar),Public domain,,https://commons.wikimedia.org/wiki/File:Canon_T50.jpg
images/canon/canon-t70.jpg,Canon T70,Canon T70 3815.jpg,Ashley Pomeroy,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canon_T70_3815.jpg
images/canon/canon-t80.jpg,Canon T80,Canon T80.jpg,Mike Caine from Isle of Man,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:Canon_T80.jpg
images/canon/canon-t90.jpg,Canon T90,T90front.jpg,Mohammed S.,CC BY-SA 2.5,https://creativecommons.org/licenses/by-sa/2.5,https://commons.wikimedia.org/wiki/File:T90front.jpg
images/canon/canon-tlb.jpg,Canon TLb,Canon TLb.jpg,TaitaFkm,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canon_TLb.jpg
images/canon/canon-ts-e-135mm-f-4l-macro.jpg,Canon TS-E 135mm f/4L Macro,Canon TS-E 135mm.jpg,Bernatargentona,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_TS-E_135mm.jpg
images/canon/canon-ts-e-17-mm.jpg,Canon TS-E 17 mm,TS-E 17mm f4L.jpg,Charles.lanteigne,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:TS-E_17mm_f4L.jpg
images/canon/canon-ts-e-24mm-lens.jpg,Canon TS-E 24mm lens,Canon TS-E 24mm f3.5L II.jpg,Charles Lanteigne,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canon_TS-E_24mm_f3.5L_II.jpg
images/canon/canon-ts-e-45mm-lens.jpg,Canon TS-E 45mm lens,Canon TSE 45.jpg,GodeNehler,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_TSE_45.jpg
images/canon/canon-ts-e-90mm-lens.jpg,Canon TS-E 90mm lens,Canon TSE 90.jpg,GodeNehler,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_TSE_90.jpg
images/canon/canon-tx.jpg,Canon TX,"Canon TX, 8 September 2018.jpg",Iiii I I I,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Canon_TX,_8_September_2018.jpg"
