slug,name,mount,focal_length_mm,max_aperture,introduced,filter_mm,weight_g,image,wikidata,commons_file,wikipedia,source
canon-ef-s-18-135mm-f3-5-5-6-is-stm,Canon EF-S 18-135mm F3.5-5.6 IS STM,Canon EF-S lens mount,18-135,3.5,2009,,,images/canon/canon-ef-s-18-135mm-f3-5-5-6-is-stm.jpg,Q60221565,Canon EFS 18-135 STM.jpg,,wikidata
canon-ef-s-18-135mm-lens,Canon EF-S 18-135mm lens,Canon EF-S lens mount,18-135,,2016,,,images/canon/canon-ef-s-18-135mm-lens.jpg,Q4035812,Canon EF-S 18-135mm IS.JPG,https://en.wikipedia.org/wiki/Canon_EF-S_18%E2%80%93135mm_lens,wikidata
canon-ef-s-18-200mm-f3-5-5-6-is,Canon EF-S 18-200mm F3.5-5.6 IS,Canon EF-S lens mount,18-200,3.5,2008,,,images/canon/canon-ef-s-18-200mm-f3-5-5-6-is.jpg,Q3880562,Canon EF-S 18-200mm lens.jpg,https://en.wikipedia.org/wiki/Canon_EF-S_18%E2%80%93200mm_lens,wikidata
canon-ef-s-18-55mm-f3-5-5-6-ii,Canon EF-S 18-55mm F3.5-5.6 II,,18-55,,2005,,,images/canon/canon-ef-s-18-55mm-f3-5-5-6-ii.jpg,Q60154249,Canon EF-S 18-55mm F3.5-5.6 II 01 cropped.jpg,,wikidata
canon-ef-s-18-55mm-f3-5-5-6-iii,Canon EF-S 18-55mm F3.5-5.6 III,,18-55,,2011,,,images/canon/canon-ef-s-18-55mm-f3-5-5-6-iii.jpg,Q60154141,Canon EF-S 18-55mm F3.5-5.6 III on white background (2).jpg,,wikidata
canon-ef-s-18-55mm-lens-f4-5-6-is-stm,Canon EF-S 18-55mm lens F4-5.6 IS STM,Canon EF-S lens mount,18-55,4,2007,,,images/canon/canon-ef-s-18-55mm-lens-f4-5-6-is-stm.jpg,Q104915001,Canon EF-S 18-55mm F4-5.6 IS STM.jpg,,wikidata
canon-ef-s-18-55mm-lens,Canon EF-S 18–55mm lens,Canon EF-S lens mount,18-55,,2003,,,images/canon/canon-ef-s-18-55mm-lens.jpg,Q1143683,Canon EF-S 18-55mm.jpg,https://en.wikipedia.org/wiki/Canon_EF-S_18%E2%80%9355mm_lens,wikidata
canon-ef-s-24mm-f2-8-stm,Canon EF-S 24mm F2.8 STM,Canon EF-S lens mount,24,2.8,2014,,,images/canon/canon-ef-s-24mm-f2-8-stm.jpg,Q20062347,Canon EF-S 24mm F2.8 STM 2.jpg,,wikidata
canon-ef-s-35mm-f2-8-macro-is-stm,Canon EF-S 35mm F2.8 Macro IS STM,Canon EF-S lens mount,35,2.8,2017,,,,Q107975424,,,wikidata
canon-ef-s-55-250mm-f4-5-6-is,Canon EF-S 55-250mm F4-5.6 IS,Canon EF-S lens mount,55-250,4,2007,,,images/canon/canon-ef-s-55-250mm-f4-5-6-is.jpg,Q68854498,Canon 55-250mm IS.JPG,,wikidata
